ID,Precision,Category,Latency_s,Net_Energy_J,Power_W,T1_CA,T1_CC,T1_SQ,T1_LA,T2_CA,T2_CC,T2_SQ,T2_LA,T3_CA,T3_CC,T3_SQ,T3_LA,T4_CA,T4_CC,T4_SQ,T4_LA,T5_CA,T5_CC,T5_SQ,T5_LA,T6_CA,T6_CC,T6_SQ,T6_LA,T7_CA,T7_CC,T7_SQ,T7_LA,T8_CA,T8_CC,T8_SQ,T8_LA,T9_CA,T9_CC,T9_SQ,T9_LA,T10_CA,T10_CC,T10_SQ,T10_LA,GPT4_CA,GPT4_CC,GPT4_SQ,GPT4_LA,Claude_CA,Claude_CC,Claude_SQ,Claude_LA,Gemini_CA,Gemini_CC,Gemini_SQ,Gemini_LA,Human_mean_CA,AI_mean_CA,Weighted_CA,Human_mean_CC,AI_mean_CC,Weighted_CC,Human_mean_SQ,AI_mean_SQ,Weighted_SQ,Human_mean_LA,AI_mean_LA,Weighted_LA,Qped,LpW
1,FP16,Mathematics,17.421,637.1515,36.57,8,5,5,7,6,6,5,8,9,6,7,9,9,7,6,7,8,8,6,10,7,7,5,6,6,7,5,6,6,4,4,6,8,7,7,7,8,6,5,7,9,8,8,9,9,8,9,8,8,8,7,9,7.5,8.6667,7.9667,6.3,8.0,6.98,5.5,8.0,6.5,7.3,8.6667,7.8467,7.3233,0.0007
2,FP16,Mathematics,15.4424,604.1982,39.13,1,1,1,2,1,2,2,2,2,3,1,1,2,4,2,3,1,2,2,2,1,3,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,1,2,9,8,6,9,5,3,2,4,1,2,1,2,1.3,5.0,2.78,2.1,4.3333,2.9933,1.5,3.0,2.1,1.8,5.0,3.08,2.7383,0.0003
3,FP16,Mathematics,16.2589,631.0294,38.81,9,7,8,8,7,8,9,8,10,8,8,10,7,9,8,9,9,10,8,10,7,8,6,7,8,9,9,7,6,7,5,7,9,9,9,9,9,9,8,9,9,8,8,9,9,8,8,8,9,8,8,9,8.1,9.0,8.46,8.4,8.0,8.24,7.8,8.0,7.88,8.4,8.6667,8.5067,8.2717,0.0008
4,FP16,Mathematics,17.0608,660.4523,38.71,7,8,7,8,7,8,9,8,10,9,8,9,8,9,8,9,9,9,9,10,8,8,6,7,7,8,8,8,7,6,5,8,10,8,9,10,9,9,8,9,9,8,8,9,8,8,8,8,9,9,8,9,8.2,8.6667,8.3867,8.2,8.3333,8.2533,7.7,8.0,7.82,8.6,8.6667,8.6267,8.2717,0.0007
5,FP16,Mathematics,17.5208,673.4084,38.43,8,7,9,8,8,8,8,7,10,8,9,9,8,10,8,9,10,9,9,10,8,9,5,6,8,9,8,7,6,7,6,8,10,9,8,9,9,9,8,9,9,8,6,9,9,8,8,8,9,9,8,9,8.5,9.0,8.7,8.5,8.3333,8.4333,7.8,7.3333,7.6133,8.2,8.6667,8.3867,8.2833,0.0007
6,FP16,Mathematics,17.8188,693.1195,38.9,7,5,5,8,6,6,6,7,7,5,5,8,6,6,4,8,8,6,4,9,7,6,3,7,5,7,6,6,5,4,3,7,5,7,6,8,7,5,5,8,9,8,6,9,8,7,7,8,7,6,5,8,6.3,8.0,6.98,5.7,7.0,6.22,4.7,6.0,5.22,7.6,8.3333,7.8933,6.5783,0.0005
7,FP16,Mathematics,16.6609,654.8443,39.3,9,6,8,9,8,8,8,8,10,8,7,9,7,9,8,9,10,10,9,10,8,8,5,7,8,8,8,7,6,7,6,8,9,9,9,9,9,9,8,8,9,8,6,9,6,6,6,7,9,9,8,9,8.4,8.0,8.24,8.2,7.6667,7.9867,7.6,6.6667,7.2267,8.4,8.3333,8.3733,7.9567,0.0007
8,FP16,Mathematics,16.9444,660.275,38.97,8,8,9,8,6,9,9,7,10,8,8,10,7,10,8,10,9,10,8,10,8,7,6,7,7,8,8,7,7,7,5,7,9,10,9,8,9,9,8,9,9,8,8,9,9,9,9,8,9,9,9,9,8.0,9.0,8.4,8.6,8.6667,8.6267,7.8,8.6667,8.1467,8.3,8.6667,8.4467,8.405,0.0008
9,FP16,Mathematics,16.4162,644.9923,39.29,7,5,5,8,5,5,6,8,8,4,5,7,7,7,5,7,7,6,5,10,7,6,3,6,5,5,6,6,5,3,3,7,8,6,7,8,6,6,5,8,9,8,8,9,8,7,6,7,7,6,5,8,6.5,8.0,7.1,5.3,7.0,5.98,5.0,6.3333,5.5333,7.5,8.0,7.7,6.5783,0.0006
10,FP16,Mathematics,17.0049,660.2936,38.83,8,7,7,8,6,6,7,7,9,5,6,8,7,8,6,8,9,8,5,9,8,7,4,7,6,6,6,6,6,4,5,8,8,8,7,8,8,7,5,8,9,8,8,8,9,8,8,8,9,8,7,9,7.5,9.0,8.1,6.6,8.0,7.16,5.8,7.6667,6.5467,7.7,8.3333,7.9533,7.44,0.0007
11,FP16,Mathematics,17.2339,678.814,39.39,9,8,7,8,7,9,9,9,10,9,8,8,7,10,8,10,10,9,8,10,9,10,7,7,7,8,9,7,5,7,6,8,9,9,10,8,9,9,8,9,9,8,8,9,9,9,9,9,9,9,8,9,8.2,9.0,8.52,8.8,8.6667,8.7467,8.0,8.3333,8.1333,8.4,9.0,8.64,8.51,0.0007
12,FP16,Mathematics,16.5952,648.486,39.08,9,9,8,9,8,9,9,7,10,9,8,9,7,10,8,8,10,10,9,10,8,8,5,7,8,8,8,7,6,6,6,7,8,8,9,9,8,9,8,9,9,8,8,9,9,8,8,8,9,9,8,9,8.2,9.0,8.52,8.6,8.3333,8.4933,7.8,8.0,7.88,8.2,8.6667,8.3867,8.32,0.0008
13,FP16,Mathematics,16.8329,659.0668,39.15,8,5,5,8,7,8,7,6,9,5,5,8,6,8,5,9,8,6,7,9,9,6,4,6,7,6,7,6,6,6,3,6,7,8,8,8,8,7,6,8,9,8,8,9,9,8,8,8,9,8,7,9,7.5,9.0,8.1,6.5,8.0,7.1,5.7,7.6667,6.4867,7.4,8.6667,7.9067,7.3983,0.0007
14,FP16,Mathematics,16.5691,703.7351,42.47,7,5,5,8,6,6,7,8,9,5,5,9,6,7,5,7,8,6,5,9,6,5,3,6,6,4,6,7,5,3,5,6,6,6,6,8,6,6,5,8,9,8,8,9,8,8,8,8,7,6,5,8,6.5,8.0,7.1,5.3,7.3333,6.1133,5.2,7.0,5.92,7.6,8.3333,7.8933,6.7567,0.0006
15,FP16,Mathematics,16.7427,653.6156,39.04,8,7,7,8,8,8,8,9,10,9,9,10,8,10,8,8,10,9,10,10,8,8,6,7,7,9,8,8,6,6,5,8,9,9,9,9,9,9,8,9,9,8,8,9,9,8,8,8,9,9,8,9,8.3,9.0,8.58,8.4,8.3333,8.3733,7.8,8.0,7.88,8.6,8.6667,8.6267,8.365,0.0008
