ID,Precision,Category,Latency_s,Net_Energy_J,Power_W,T1_CA,T1_CC,T1_SQ,T1_LA,T2_CA,T2_CC,T2_SQ,T2_LA,T3_CA,T3_CC,T3_SQ,T3_LA,T4_CA,T4_CC,T4_SQ,T4_LA,T5_CA,T5_CC,T5_SQ,T5_LA,T6_CA,T6_CC,T6_SQ,T6_LA,T7_CA,T7_CC,T7_SQ,T7_LA,T8_CA,T8_CC,T8_SQ,T8_LA,T9_CA,T9_CC,T9_SQ,T9_LA,T10_CA,T10_CC,T10_SQ,T10_LA,GPT4_CA,GPT4_CC,GPT4_SQ,GPT4_LA,Claude_CA,Claude_CC,Claude_SQ,Claude_LA,Gemini_CA,Gemini_CC,Gemini_SQ,Gemini_LA,Human_mean_CA,AI_mean_CA,Weighted_CA,Human_mean_CC,AI_mean_CC,Weighted_CC,Human_mean_SQ,AI_mean_SQ,Weighted_SQ,Human_mean_LA,AI_mean_LA,Weighted_LA,Qped,LpW
1,NF4,Mathematics,54.9156,2070.8143,37.71,7,7,7,7,7,7,8,8,9,6,8,7,5,8,6,8,9,8,8,10,7,5,5,7,7,5,8,6,5,5,5,6,7,7,8,8,7,7,7,8,9,8,8,9,8,7,6,9,8,7,6,8,7.0,8.3333,7.5333,6.5,7.3333,6.8333,7.0,6.6667,6.8667,7.5,8.6667,7.9667,7.3,0.0001
2,NF4,Mathematics,46.1476,1817.1435,39.38,9,8,9,9,6,8,7,8,10,8,7,8,7,10,9,9,10,9,8,10,8,9,7,7,7,8,9,7,6,6,6,8,9,9,8,9,9,9,7,9,9,8,8,9,8,8,7,9,9,9,8,9,8.1,8.6667,8.3267,8.4,8.3333,8.3733,7.7,7.6667,7.6867,8.4,9.0,8.64,8.2567,0.0001
3,NF4,Mathematics,47.4046,1857.1723,39.18,8,6,7,8,6,6,8,8,9,5,6,9,5,8,7,8,9,8,7,9,7,6,5,6,6,6,7,7,6,4,5,6,8,6,9,9,7,8,6,8,9,8,8,9,6,6,6,9,7,6,5,8,7.1,7.3333,7.1933,6.3,6.6667,6.4467,6.7,6.3333,6.5533,7.8,8.6667,8.1467,7.085,0.0001
4,NF4,Mathematics,49.2674,1918.7859,38.95,8,6,6,8,6,7,7,8,9,4,8,8,7,8,7,7,8,8,7,9,7,7,5,6,6,6,7,6,7,6,5,7,9,5,8,8,8,7,7,8,9,8,8,9,6,6,6,9,7,6,5,8,7.5,7.3333,7.4333,6.4,6.6667,6.5067,6.7,6.3333,6.5533,7.5,8.6667,7.9667,7.115,0.0001
5,NF4,Mathematics,49.6486,1986.1748,40.0,9,7,8,10,8,8,8,9,10,8,9,9,8,10,7,9,10,10,9,10,8,8,6,7,8,8,8,8,7,7,6,7,9,9,9,9,9,9,8,9,9,8,8,9,8,8,7,9,9,9,8,9,8.6,8.6667,8.6267,8.4,8.3333,8.3733,7.8,7.6667,7.7467,8.7,9.0,8.82,8.3917,0.0001
6,NF4,Mathematics,51.3939,1968.1403,38.3,8,5,6,8,7,6,7,8,9,6,8,8,7,8,6,8,8,8,8,10,8,5,6,7,7,6,8,6,5,6,4,6,7,7,8,8,7,7,7,8,9,8,6,9,8,8,7,9,9,9,8,9,7.3,8.6667,7.8467,6.4,8.3333,7.1733,6.8,7.0,6.88,7.7,9.0,8.22,7.53,0.0001
7,NF4,Mathematics,54.0787,2079.7493,38.46,8,9,8,9,9,8,9,9,10,8,9,10,7,9,7,9,10,10,8,10,8,9,7,7,8,9,8,7,7,6,6,7,9,9,9,9,9,8,7,9,9,8,6,9,8,8,7,9,9,9,8,9,8.5,8.6667,8.5667,8.5,8.3333,8.4333,7.8,7.0,7.48,8.6,9.0,8.76,8.31,0.0001
8,NF4,Mathematics,52.7618,2030.2062,38.48,8,8,7,8,8,9,8,8,9,9,8,8,6,10,9,10,9,10,8,10,8,8,6,6,6,10,8,8,6,6,6,6,10,9,9,10,8,9,8,9,9,8,8,9,6,6,6,9,7,6,5,8,7.8,7.3333,7.6133,8.8,6.6667,7.9467,7.7,6.3333,7.1533,8.3,8.6667,8.4467,7.79,0.0001
9,NF4,Mathematics,52.7488,2080.7583,39.45,7,5,7,8,6,6,7,7,9,6,7,8,7,7,7,7,10,8,7,10,8,6,5,7,7,8,6,6,6,5,4,6,9,7,7,8,8,7,6,8,9,8,8,9,7,6,5,8,7,6,5,8,7.7,7.6667,7.6867,6.5,6.6667,6.5667,6.3,6.0,6.18,7.5,8.3333,7.8333,7.0667,0.0001
10,NF4,Mathematics,52.5324,2013.1618,38.32,8,4,6,8,6,6,7,8,9,6,7,9,8,8,8,7,8,7,8,10,7,6,6,6,7,7,8,6,5,5,5,7,7,6,7,8,7,6,7,7,9,8,6,8,8,8,7,9,9,9,8,9,7.2,8.6667,7.7867,6.1,8.3333,6.9933,6.9,7.0,6.94,7.6,8.6667,8.0267,7.4367,0.0001
11,NF4,Mathematics,42.9513,1656.9138,38.58,8,5,7,8,6,7,8,7,9,7,6,8,6,8,7,9,9,8,8,10,7,6,5,6,7,6,7,6,6,4,5,8,8,7,9,8,7,6,7,8,9,8,6,9,8,7,6,9,8,7,6,8,7.3,8.3333,7.7133,6.4,7.3333,6.7733,6.9,6.0,6.54,7.8,8.6667,8.1467,7.2933,0.0001
