ID,HW_Platform,Backend,Precision,Category,Output_Tokens,Latency_s,Gross_Energy_J,Net_Energy_J,Power_W,Q_ped,LpW
1,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,186,136.1372,789.4412,503.5532,5.8,8.588,0.00012528
2,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,140,148.9561,780.0035,467.1958,5.24,7.699,0.00011063
3,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,188,148.6648,716.0719,403.8758,4.82,8.305,0.00013832
4,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,159,124.9964,729.3475,466.855,5.83,8.174,0.00014007
5,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,200,134.155,708.3894,426.6638,5.28,7.284,0.00012726
6,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,170,104.9298,483.6632,263.3107,4.61,8.28,0.00029968
7,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,153,132.8071,741.7241,462.8291,5.58,7.275,0.00011836
8,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,179,120.1254,685.9487,433.6855,5.71,8.337,0.00016003
9,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,157,128.7534,557.4553,287.0732,4.33,7.746,0.00020957
10,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,200,107.4677,534.1337,308.4515,4.97,8.014,0.00024176
11,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,178,137.1492,720.8312,432.8179,5.26,7.337,0.0001236
12,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,174,107.3087,600.264,374.9157,5.59,8.074,0.00020069
13,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,191,133.5056,680.0379,399.676,5.09,8.492,0.00015915
14,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,155,113.9836,566.173,326.8074,4.97,7.59,0.00020375
15,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,149,119.3351,667.1867,416.583,5.59,7.694,0.00015477
16,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,186,147.7972,755.6384,445.2643,5.11,8.246,0.0001253
17,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,153,139.7484,770.9672,477.4955,5.52,8.259,0.00012377
18,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,153,147.7187,717.2324,407.0231,4.86,6.744,0.00011217
19,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,196,153.5481,730.7458,408.2947,4.76,9.058,0.00014448
20,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,189,120.4257,674.6377,421.7437,5.6,8.285,0.00016313
21,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,150,152.6854,824.655,504.0157,5.4,8.372,0.00010879
22,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,164,110.5898,626.9317,394.6931,5.67,7.935,0.00018179
23,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,158,141.9946,722.3214,424.1327,5.09,7.045,0.00011698
24,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,200,124.3946,619.7287,358.5,4.98,8.361,0.00018749
25,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,197,118.1897,690.7348,442.5364,5.84,7.716,0.00014752
26,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,168,140.1255,657.3029,363.0394,4.69,8.293,0.00016302
27,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,190,144.8183,840.0308,535.9124,5.8,7.896,0.00010174
28,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,148,144.3968,841.5738,538.3405,5.83,8.134,0.00010464
29,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,163,134.451,758.8463,476.4992,5.64,7.607,0.00011874
30,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,180,133.2738,669.6844,389.8095,5.02,8.459,0.00016283
31,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,187,138.8815,690.712,399.0608,4.97,7.392,0.00013338
32,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,175,135.7134,707.8783,422.8801,5.22,9.178,0.00015992
33,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,183,139.0873,665.113,373.0298,4.78,9.174,0.00017682
34,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,179,134.2968,660.112,378.0888,4.92,8.859,0.00017447
35,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,174,143.3675,796.8215,495.7497,5.56,8.673,0.00012203
36,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,171,108.2936,602.0845,374.6678,5.56,7.966,0.00019633
37,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,168,129.5359,632.1573,360.1319,4.88,8.617,0.00018472
38,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,183,111.7494,622.4942,387.8205,5.57,7.96,0.00018367
39,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,187,135.3292,741.8368,457.6455,5.48,7.202,0.00011629
40,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,182,154.7154,913.4327,588.5304,5.9,8.792,9.656e-05
41,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,152,124.668,689.1216,427.3188,5.53,8.597,0.00016138
42,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,156,133.207,762.4011,482.6665,5.72,7.994,0.00012433
43,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,186,142.1421,780.4783,481.9799,5.49,7.373,0.00010762
44,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,200,102.0383,580.7993,366.5188,5.69,7.705,0.00020602
45,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,181,123.986,593.2921,332.9215,4.79,7.063,0.00017111
46,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,168,136.5761,717.2025,430.3926,5.25,8.501,0.00014462
47,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,182,98.0,517.8719,312.0719,5.28,7.176,0.00023464
48,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,152,117.5293,611.4463,364.6347,5.2,8.159,0.00019038
49,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,200,147.0322,805.3768,496.6092,5.48,7.571,0.00010369
50,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,182,145.6426,808.8626,503.0132,5.55,7.268,9.921e-05
51,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,163,136.7153,746.0422,458.94,5.46,8.134,0.00012964
52,"Raspberry Pi 5 4GB (BCM2712, Cortex-A76)",llama.cpp,Q4_K_M,Mathematics,174,143.9272,752.6274,450.3802,5.23,7.836,0.00012088
