ID,HW_Platform,Backend,Precision,Category,Output_Tokens,Latency_s,Gross_Energy_J,Net_Energy_J,Power_W,Q_ped,LpW
1,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,145,35.2355,2001.5818,1642.1793,56.81,8.689,0.00015016
2,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,158,33.9546,1963.7471,1617.41,57.83,7.197,0.00013105
3,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,162,38.1746,2476.0217,2086.6407,64.86,7.974,0.0001001
4,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,173,36.991,2006.4796,1629.1717,54.24,8.214,0.0001363
5,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,161,23.0,1176.4032,941.8032,51.15,8.351,0.00038552
6,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,193,36.7081,2032.2878,1657.8651,55.36,7.891,0.00012966
7,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,142,29.584,1402.0438,1100.2871,47.39,7.358,0.00022605
8,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,143,27.66,1406.7892,1124.6567,50.86,7.855,0.00025251
9,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,170,33.333,1564.3793,1224.3825,46.93,7.881,0.0001931
10,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,174,36.0905,1890.0404,1521.9177,52.37,7.869,0.00014326
11,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,145,26.6526,1250.2764,978.4196,46.91,8.706,0.00033385
12,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,164,37.4411,1749.5444,1367.6457,46.73,7.657,0.00014953
13,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,169,37.7114,1977.9631,1593.3072,52.45,8.384,0.00013953
14,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,169,34.4161,1706.484,1355.4399,49.58,8.316,0.00017827
15,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,181,30.2089,1216.7218,908.5907,40.28,8.701,0.000317
16,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,163,29.6949,1268.8942,966.0066,42.73,8.176,0.00028502
17,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,38.9193,1725.456,1328.4793,44.33,8.62,0.00016672
18,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,188,27.2484,1245.4836,967.5502,45.71,8.157,0.0003094
19,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,160,39.0966,2050.8103,1652.0254,52.46,8.449,0.00013081
20,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,180,33.4401,1720.1072,1379.0183,51.44,7.519,0.00016305
21,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,180,33.7592,1885.0931,1540.7496,55.84,6.974,0.00013408
22,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,26.3428,1428.1634,1159.4668,54.21,8.421,0.0002757
23,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,164,33.5251,1873.1781,1531.2221,55.87,8.447,0.00016455
24,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,194,37.0225,1979.358,1601.7286,53.46,8.468,0.0001428
25,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,178,28.0525,1441.628,1155.4924,51.39,7.988,0.00024643
26,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,36.4937,2044.2555,1672.0195,56.02,8.955,0.00014676
27,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,200,34.6095,1906.3216,1553.3052,55.08,8.019,0.00014917
28,Intel Core Ultra 9 185H (Meteor Lake),llama.cpp,F16_GGUF,Mathematics,182,31.2387,1632.4013,1313.7663,52.26,8.442,0.0002057
